------Generation 0------
Rule 86: b221837b77, Class:  2, CF:0.97799, Len: 10, Fitness_tra: 258
Rule 87: b224294277, Class:  2, CF:0.702454, Len: 10, Fitness_tra: -1
Rule 88: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: b1b155421b, Class:  2, CF:0.998509, Len: 10, Fitness_tra: 0
Rule 90: 2211e31b72, Class:  2, CF:0.995174, Len: 10, Fitness_tra: 0
Rule 91: b111617141, Class:  4, CF:0.789044, Len: 10, Fitness_tra: 1827
Rule 92: 2cbb552a71, Class:  1, CF:0.942296, Len: 10, Fitness_tra: 0
Rule 93: 157896b742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 1c225abc11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 52772921d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 192bc036bb, Class:  1, CF:0.201347, Len:  9, Fitness_tra: 103
Rule 97: bb79637212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1111964b22, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 99: 21c293bbd2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 4024d3b244, Class:  2, CF:0.999977, Len:  9, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.1043
------Result------
Miss_rate(tra)	:99.1043
Miss_rate(tst)	:95.7991
ARL				:9.78873

------Generation 2------
Rule  1: 7b772517b1, Class:  2, CF:0.969439, Len: 10, Fitness_tra: 966
Rule  2: 111161714b, Class:  4, CF:0.890787, Len: 10, Fitness_tra: -1164
Rule  3: 18b25d171b, Class:  1, CF:0.686993, Len: 10, Fitness_tra: 0
Rule  4: 44b12e7221, Class:  2, CF:0.998007, Len: 10, Fitness_tra: 10
Rule  5: b1b1b5b722, Class:  2, CF:0.879636, Len: 10, Fitness_tra: 147
Rule  6: 4411164422, Class:  4, CF:0.999646, Len: 10, Fitness_tra: 44
Rule  7: 4941214458, Class:  2, CF:  1, Len: 10, Fitness_tra: 91
Rule  8: 11b4af1bbb, Class:  4, CF:0.999431, Len: 10, Fitness_tra: 51
Rule  9: 1e42834111, Class:  1, CF:0.9939, Len: 10, Fitness_tra: 29
Rule 10: 7521517111, Class:  1, CF:0.685969, Len: 10, Fitness_tra: 0
Rule 11: 7474c31224, Class:  2, CF:0.996902, Len: 10, Fitness_tra: 102
Rule 12: 11175118d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 1541c34c21, Class:  2, CF:  1, Len: 10, Fitness_tra: 33
Rule 14: 8117421121, Class:  3, CF:0.0464416, Len: 10, Fitness_tra: 16
Rule 15: 77211f7122, Class:  4, CF:0.999734, Len: 10, Fitness_tra: 13
